,line number,filename,commit id,buggy commit,buggy author,author experience,project progress,timedelta (month)
0,30,lib/ansible/module_utils/iosxr.py,ec9582f,eb1453a366403d8f95208517484f632b1da09778,Peter Sprygada,616,28721,43
1,69,lib/ansible/module_utils/iosxr.py,ec9582f,7c6916f8d1af7fa6252aee7f7af73a5250c754a8,Peter Sprygada,557,27989,42
2,85,lib/ansible/module_utils/iosxr.py,ec9582f,7c6916f8d1af7fa6252aee7f7af73a5250c754a8,Peter Sprygada,557,27989,42
3,261,lib/ansible/modules/network/iosxr/iosxr_system.py,ec9582f,4cdb266dac852859f695b0555cbe49e58343e69a,Peter Sprygada,558,28007,42
4,263,lib/ansible/modules/network/iosxr/iosxr_system.py,ec9582f,4cdb266dac852859f695b0555cbe49e58343e69a,Peter Sprygada,558,28007,42
5,264,lib/ansible/modules/network/iosxr/iosxr_system.py,ec9582f,4cdb266dac852859f695b0555cbe49e58343e69a,Peter Sprygada,558,28007,42
6,43,examples/prediction/category_prediction/run.py,dce7087,f297d70a9bb2d36ea3585cb6e6acd95921e3d082,passiweinberger,0,4148,0
7,16,lendingbot.py,40b8682,40b86822b71fb4d4b9c5778832dfd2bebb6d3175,Evan,49,169,7
8,42,lendingbot.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
9,64,modules/Configuration.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
10,65,modules/Configuration.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
11,66,modules/Configuration.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
12,67,modules/Configuration.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
13,32,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
14,45,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
15,57,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
16,75,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
17,115,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
18,116,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
19,132,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
20,140,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
21,141,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
22,142,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
23,143,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
24,144,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
25,145,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
26,148,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
27,149,modules/Lending.py,40b8682,be0a400e29ac6d5b99f21ead4f50352a6b3f5d2c,Evan,46,166,7
28,150,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
29,151,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
30,152,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
31,153,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
32,154,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
33,156,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
34,157,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
35,158,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
36,159,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
37,160,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
38,161,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
39,163,modules/Lending.py,40b8682,73b68cb717fa93ef9a9280dbd382a1f8876d27f7,Evan,43,163,7
40,167,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
41,168,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
42,175,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
43,176,modules/Lending.py,40b8682,2856a2153f0dc0b6f3cb5b5a5c097217d58347c5,Evan,48,168,7
44,177,modules/Lending.py,40b8682,2856a2153f0dc0b6f3cb5b5a5c097217d58347c5,Evan,48,168,7
45,180,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
46,181,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
47,182,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
48,184,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
49,187,modules/Lending.py,40b8682,be0a400e29ac6d5b99f21ead4f50352a6b3f5d2c,Evan,46,166,7
50,188,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
51,189,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
52,190,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
53,191,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
54,192,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
55,193,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
56,194,modules/Lending.py,40b8682,be0a400e29ac6d5b99f21ead4f50352a6b3f5d2c,Evan,46,166,7
57,195,modules/Lending.py,40b8682,be0a400e29ac6d5b99f21ead4f50352a6b3f5d2c,Evan,46,166,7
58,196,modules/Lending.py,40b8682,be0a400e29ac6d5b99f21ead4f50352a6b3f5d2c,Evan,46,166,7
59,197,modules/Lending.py,40b8682,be0a400e29ac6d5b99f21ead4f50352a6b3f5d2c,Evan,46,166,7
60,199,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
61,200,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
62,201,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
63,202,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
64,203,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
65,204,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
66,205,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
67,206,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
68,207,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
69,208,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
70,209,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
71,210,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
72,211,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
73,212,modules/Lending.py,40b8682,be0a400e29ac6d5b99f21ead4f50352a6b3f5d2c,Evan,46,166,7
74,213,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
75,214,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
76,215,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
77,216,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
78,217,modules/Lending.py,40b8682,be0a400e29ac6d5b99f21ead4f50352a6b3f5d2c,Evan,46,166,7
79,218,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
80,219,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
81,220,modules/Lending.py,40b8682,be0a400e29ac6d5b99f21ead4f50352a6b3f5d2c,Evan,46,166,7
82,221,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
83,222,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
84,223,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
85,224,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
86,225,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
87,226,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
88,228,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
89,229,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
90,230,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
91,231,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
92,232,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
93,233,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
94,248,modules/Lending.py,40b8682,73b68cb717fa93ef9a9280dbd382a1f8876d27f7,Evan,43,163,7
95,249,modules/Lending.py,40b8682,73b68cb717fa93ef9a9280dbd382a1f8876d27f7,Evan,43,163,7
96,250,modules/Lending.py,40b8682,73b68cb717fa93ef9a9280dbd382a1f8876d27f7,Evan,43,163,7
97,251,modules/Lending.py,40b8682,73b68cb717fa93ef9a9280dbd382a1f8876d27f7,Evan,43,163,7
98,252,modules/Lending.py,40b8682,73b68cb717fa93ef9a9280dbd382a1f8876d27f7,Evan,43,163,7
99,253,modules/Lending.py,40b8682,73b68cb717fa93ef9a9280dbd382a1f8876d27f7,Evan,43,163,7
100,254,modules/Lending.py,40b8682,73b68cb717fa93ef9a9280dbd382a1f8876d27f7,Evan,43,163,7
101,255,modules/Lending.py,40b8682,73b68cb717fa93ef9a9280dbd382a1f8876d27f7,Evan,43,163,7
102,256,modules/Lending.py,40b8682,73b68cb717fa93ef9a9280dbd382a1f8876d27f7,Evan,43,163,7
103,257,modules/Lending.py,40b8682,73b68cb717fa93ef9a9280dbd382a1f8876d27f7,Evan,43,163,7
104,258,modules/Lending.py,40b8682,73b68cb717fa93ef9a9280dbd382a1f8876d27f7,Evan,43,163,7
105,259,modules/Lending.py,40b8682,73b68cb717fa93ef9a9280dbd382a1f8876d27f7,Evan,43,163,7
106,260,modules/Lending.py,40b8682,73b68cb717fa93ef9a9280dbd382a1f8876d27f7,Evan,43,163,7
107,261,modules/Lending.py,40b8682,73b68cb717fa93ef9a9280dbd382a1f8876d27f7,Evan,43,163,7
108,262,modules/Lending.py,40b8682,73b68cb717fa93ef9a9280dbd382a1f8876d27f7,Evan,43,163,7
109,263,modules/Lending.py,40b8682,73b68cb717fa93ef9a9280dbd382a1f8876d27f7,Evan,43,163,7
110,264,modules/Lending.py,40b8682,73b68cb717fa93ef9a9280dbd382a1f8876d27f7,Evan,43,163,7
111,265,modules/Lending.py,40b8682,73b68cb717fa93ef9a9280dbd382a1f8876d27f7,Evan,43,163,7
112,266,modules/Lending.py,40b8682,73b68cb717fa93ef9a9280dbd382a1f8876d27f7,Evan,43,163,7
113,267,modules/Lending.py,40b8682,73b68cb717fa93ef9a9280dbd382a1f8876d27f7,Evan,43,163,7
114,9,modules/MarketAnalysis.py,40b8682,73b68cb717fa93ef9a9280dbd382a1f8876d27f7,Evan,43,163,7
115,10,modules/MarketAnalysis.py,40b8682,73b68cb717fa93ef9a9280dbd382a1f8876d27f7,Evan,43,163,7
116,25,modules/Poloniex.py,40b8682,482c5167ea1261464d4ade733a7c2bac8843b823,Mikadily,0,0,0
117,26,modules/Poloniex.py,40b8682,482c5167ea1261464d4ade733a7c2bac8843b823,Mikadily,0,0,0
118,27,modules/Poloniex.py,40b8682,482c5167ea1261464d4ade733a7c2bac8843b823,Mikadily,0,0,0
119,28,modules/Poloniex.py,40b8682,482c5167ea1261464d4ade733a7c2bac8843b823,Mikadily,0,0,0
120,29,modules/Poloniex.py,40b8682,1de19666c2e938ba2904ab80a20f17f2f1b7ce60,Evan,32,136,5
121,30,modules/Poloniex.py,40b8682,1de19666c2e938ba2904ab80a20f17f2f1b7ce60,Evan,32,136,5
122,31,modules/Poloniex.py,40b8682,482c5167ea1261464d4ade733a7c2bac8843b823,Mikadily,0,0,0
123,32,modules/Poloniex.py,40b8682,1de19666c2e938ba2904ab80a20f17f2f1b7ce60,Evan,32,136,5
124,33,modules/Poloniex.py,40b8682,1de19666c2e938ba2904ab80a20f17f2f1b7ce60,Evan,32,136,5
125,34,modules/Poloniex.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6
126,35,modules/Poloniex.py,40b8682,1de19666c2e938ba2904ab80a20f17f2f1b7ce60,Evan,32,136,5
127,36,modules/Poloniex.py,40b8682,482c5167ea1261464d4ade733a7c2bac8843b823,Mikadily,0,0,0
128,81,modules/Poloniex.py,40b8682,d6ab2fa3daab6951dbf3c43ee9875a473b786872,Evan,44,164,7
129,125,lib/ansible/modules/network/iosxr/iosxr_logging.py,36c6d0f,e5c2e1b7beabdd91fe0df768b8c6aa7f54c603e3,Trishna Guha,50,31271,2
130,165,lib/ansible/modules/network/iosxr/iosxr_logging.py,36c6d0f,e5c2e1b7beabdd91fe0df768b8c6aa7f54c603e3,Trishna Guha,50,31271,2
131,211,lib/ansible/modules/network/iosxr/iosxr_logging.py,36c6d0f,e5c2e1b7beabdd91fe0df768b8c6aa7f54c603e3,Trishna Guha,50,31271,2
132,236,lib/ansible/modules/network/iosxr/iosxr_logging.py,36c6d0f,e5c2e1b7beabdd91fe0df768b8c6aa7f54c603e3,Trishna Guha,50,31271,2
133,237,lib/ansible/modules/network/iosxr/iosxr_logging.py,36c6d0f,e5c2e1b7beabdd91fe0df768b8c6aa7f54c603e3,Trishna Guha,50,31271,2
134,239,lib/ansible/modules/network/iosxr/iosxr_logging.py,36c6d0f,e5c2e1b7beabdd91fe0df768b8c6aa7f54c603e3,Trishna Guha,50,31271,2
135,242,lib/ansible/modules/network/iosxr/iosxr_logging.py,36c6d0f,e5c2e1b7beabdd91fe0df768b8c6aa7f54c603e3,Trishna Guha,50,31271,2
136,243,lib/ansible/modules/network/iosxr/iosxr_logging.py,36c6d0f,e5c2e1b7beabdd91fe0df768b8c6aa7f54c603e3,Trishna Guha,50,31271,2
137,244,lib/ansible/modules/network/iosxr/iosxr_logging.py,36c6d0f,e5c2e1b7beabdd91fe0df768b8c6aa7f54c603e3,Trishna Guha,50,31271,2
138,245,lib/ansible/modules/network/iosxr/iosxr_logging.py,36c6d0f,e5c2e1b7beabdd91fe0df768b8c6aa7f54c603e3,Trishna Guha,50,31271,2
139,249,lib/ansible/modules/network/iosxr/iosxr_logging.py,36c6d0f,e5c2e1b7beabdd91fe0df768b8c6aa7f54c603e3,Trishna Guha,50,31271,2
140,176,lib/ansible/cli/__init__.py,54931f3,cdefeb6d84499d86bf6fef8352b06d626c1bf4ae,Brian Coca,676,13979,32
141,192,lib/ansible/cli/__init__.py,54931f3,cdefeb6d84499d86bf6fef8352b06d626c1bf4ae,Brian Coca,676,13979,32
142,642,lib/ansible/cli/__init__.py,54931f3,fe91f7b506b5615c80c32623f4144f182ac83308,Brian Coca,1020,14881,34
143,67,blaze/compute/dask.py,ea66296,fcc476453bf5bf5c426ac6bdd5020713c60e1420,Blake Griffith,23,5790,0
144,68,blaze/compute/dask.py,ea66296,fcc476453bf5bf5c426ac6bdd5020713c60e1420,Blake Griffith,23,5790,0
145,69,blaze/compute/dask.py,ea66296,fcc476453bf5bf5c426ac6bdd5020713c60e1420,Blake Griffith,23,5790,0
146,73,blaze/compute/dask.py,ea66296,fcc476453bf5bf5c426ac6bdd5020713c60e1420,Blake Griffith,23,5790,0
147,256,manticore/core/executor.py,105a7d3,97307906c5e4d4a89d9631628e6d58f1a19b7e82,Mark Mossberg,133,361,11
148,307,manticore/core/executor.py,105a7d3,97307906c5e4d4a89d9631628e6d58f1a19b7e82,Mark Mossberg,133,361,11
149,164,lib/ansible/cli/__init__.py,181b31e,ea3914f4383a5460ea54b29bd4626f3f37f8f401,Adrian Likins,153,30340,13
150,38,lib/ansible/plugins/vars/host_group_vars.py,181b31e,8f97aef1a365cbbbb822d6d09f96af17a076b295,Brian Coca,3300,30311,56
151,90,lib/ansible/plugins/vars/host_group_vars.py,181b31e,8f97aef1a365cbbbb822d6d09f96af17a076b295,Brian Coca,3300,30311,56
152,93,lib/ansible/utils/color.py,181b31e,a4ae0c85f184ffe1aeef7821930622884f93c13d,Yuri Khan,0,28917,0
153,78,lib/ansible/utils/path.py,181b31e,8f97aef1a365cbbbb822d6d09f96af17a076b295,Brian Coca,3300,30311,56
154,116,invenio/b2share/modules/b2deposit/restful.py,8e97d53,eaeb13db97ced9453683c132ae6c71f012cfc025,Sarah Berenji,40,11903,10
155,134,invenio/b2share/modules/b2deposit/restful.py,8e97d53,30808ad284e20d03a6eb33ec7e3d1de085fe6ff6,Emanuel Dima,114,11860,11
156,136,invenio/b2share/modules/b2deposit/restful.py,8e97d53,30808ad284e20d03a6eb33ec7e3d1de085fe6ff6,Emanuel Dima,114,11860,11
157,218,invenio/b2share/modules/b2deposit/restful.py,8e97d53,5471934be0c8ffbf373efc6a140cf082790043ba,Sarah Berenji,21,11617,3
158,219,invenio/b2share/modules/b2deposit/restful.py,8e97d53,b021da76c6c17a291a8e7e2902304dd12da2fa4f,Sarah Berenji,41,11936,11
159,220,invenio/b2share/modules/b2deposit/restful.py,8e97d53,b021da76c6c17a291a8e7e2902304dd12da2fa4f,Sarah Berenji,41,11936,11
160,221,invenio/b2share/modules/b2deposit/restful.py,8e97d53,b021da76c6c17a291a8e7e2902304dd12da2fa4f,Sarah Berenji,41,11936,11
161,222,invenio/b2share/modules/b2deposit/restful.py,8e97d53,b021da76c6c17a291a8e7e2902304dd12da2fa4f,Sarah Berenji,41,11936,11
162,226,invenio/b2share/modules/b2deposit/restful.py,8e97d53,eaeb13db97ced9453683c132ae6c71f012cfc025,Sarah Berenji,40,11903,10
163,233,invenio/b2share/modules/b2deposit/restful.py,8e97d53,eaeb13db97ced9453683c132ae6c71f012cfc025,Sarah Berenji,40,11903,10
164,236,invenio/b2share/modules/b2deposit/restful.py,8e97d53,b021da76c6c17a291a8e7e2902304dd12da2fa4f,Sarah Berenji,41,11936,11
165,237,invenio/b2share/modules/b2deposit/restful.py,8e97d53,b021da76c6c17a291a8e7e2902304dd12da2fa4f,Sarah Berenji,41,11936,11
166,238,invenio/b2share/modules/b2deposit/restful.py,8e97d53,b021da76c6c17a291a8e7e2902304dd12da2fa4f,Sarah Berenji,41,11936,11
167,239,invenio/b2share/modules/b2deposit/restful.py,8e97d53,b021da76c6c17a291a8e7e2902304dd12da2fa4f,Sarah Berenji,41,11936,11
168,261,invenio/b2share/modules/b2deposit/restful.py,8e97d53,eaeb13db97ced9453683c132ae6c71f012cfc025,Sarah Berenji,40,11903,10
169,266,invenio/b2share/modules/b2deposit/restful.py,8e97d53,eaeb13db97ced9453683c132ae6c71f012cfc025,Sarah Berenji,40,11903,10
170,268,invenio/b2share/modules/b2deposit/restful.py,8e97d53,b021da76c6c17a291a8e7e2902304dd12da2fa4f,Sarah Berenji,41,11936,11
171,269,invenio/b2share/modules/b2deposit/restful.py,8e97d53,b021da76c6c17a291a8e7e2902304dd12da2fa4f,Sarah Berenji,41,11936,11
172,270,invenio/b2share/modules/b2deposit/restful.py,8e97d53,b021da76c6c17a291a8e7e2902304dd12da2fa4f,Sarah Berenji,41,11936,11
173,271,invenio/b2share/modules/b2deposit/restful.py,8e97d53,b021da76c6c17a291a8e7e2902304dd12da2fa4f,Sarah Berenji,41,11936,11
174,279,invenio/b2share/modules/b2deposit/restful.py,8e97d53,eaeb13db97ced9453683c132ae6c71f012cfc025,Sarah Berenji,40,11903,10
175,280,invenio/b2share/modules/b2deposit/restful.py,8e97d53,eaeb13db97ced9453683c132ae6c71f012cfc025,Sarah Berenji,40,11903,10
176,282,invenio/b2share/modules/b2deposit/restful.py,8e97d53,1135542018d110406e0f0f27ab4092f7340d7a23,Sarah Berenji,20,11616,3
177,283,invenio/b2share/modules/b2deposit/restful.py,8e97d53,b021da76c6c17a291a8e7e2902304dd12da2fa4f,Sarah Berenji,41,11936,11
178,292,invenio/b2share/modules/b2deposit/restful.py,8e97d53,e2336fe1dae89f3fe4612d8ba40525d35ab75a76,Emanuel Dima,116,11862,11
179,383,invenio/b2share/modules/b2deposit/restful.py,8e97d53,e2336fe1dae89f3fe4612d8ba40525d35ab75a76,Emanuel Dima,116,11862,11
180,457,invenio/b2share/modules/b2deposit/restful.py,8e97d53,1ddd2ab0d317805b1acdc1eb1718de46fcd3367f,Emanuel Dima,117,11863,11
181,7,invenio/b2share/testsuite/helpers.py,8e97d53,5672331ad1619a2dab37d4b7800a94736093aed8,Emanuel Dima,144,13642,16
182,8,invenio/b2share/testsuite/helpers.py,8e97d53,5672331ad1619a2dab37d4b7800a94736093aed8,Emanuel Dima,144,13642,16
183,9,invenio/b2share/testsuite/helpers.py,8e97d53,b06e7e09adef45c6620e238a507287a95f6917f9,Nicolas Harraudeau,1,13646,0
184,10,invenio/b2share/testsuite/helpers.py,8e97d53,5672331ad1619a2dab37d4b7800a94736093aed8,Emanuel Dima,144,13642,16
185,11,invenio/b2share/testsuite/helpers.py,8e97d53,b06e7e09adef45c6620e238a507287a95f6917f9,Nicolas Harraudeau,1,13646,0
186,36,invenio/b2share/testsuite/helpers.py,8e97d53,b06e7e09adef45c6620e238a507287a95f6917f9,Nicolas Harraudeau,1,13646,0
187,39,invenio/b2share/testsuite/helpers.py,8e97d53,b06e7e09adef45c6620e238a507287a95f6917f9,Nicolas Harraudeau,1,13646,0
188,40,invenio/b2share/testsuite/helpers.py,8e97d53,b06e7e09adef45c6620e238a507287a95f6917f9,Nicolas Harraudeau,1,13646,0
189,8,invenio/b2share/testsuite/test_checksums.py,8e97d53,5c64a026c65e7d926b63dbb7df94a2f8ff5dc76b,Nicolas Harraudeau,2,13647,0
190,23,invenio/b2share/testsuite/test_checksums.py,8e97d53,b06e7e09adef45c6620e238a507287a95f6917f9,Nicolas Harraudeau,1,13646,0
191,25,invenio/b2share/testsuite/test_checksums.py,8e97d53,b06e7e09adef45c6620e238a507287a95f6917f9,Nicolas Harraudeau,1,13646,0
192,26,invenio/b2share/testsuite/test_checksums.py,8e97d53,b06e7e09adef45c6620e238a507287a95f6917f9,Nicolas Harraudeau,1,13646,0
193,27,invenio/b2share/testsuite/test_checksums.py,8e97d53,5672331ad1619a2dab37d4b7800a94736093aed8,Emanuel Dima,144,13642,16
